gene,variance
ENSG00000032219,671637.6663474691
ENSG00000032389,600076.3917920658
ENSG00000032444,9546922.133515738
ENSG00000032742,178338.94569083446
ENSG00000033011,1663652.323392613
ENSG00000033030,806944.8592339262
ENSG00000033050,4269783.351709989
ENSG00000033100,18957720.13967168
ENSG00000033122,1675.3462380300962
ENSG00000033170,4162548.912722299
ENSG00000033178,3430743.870998632
ENSG00000033327,12661603.5497948
ENSG00000033627,4407031.97756498
ENSG00000033800,3277609.8068399453
ENSG00000033867,1258949.7998632018
ENSG00000034053,1077694.439398085
ENSG00000034152,12819840.200410403
ENSG00000034239,10438.9389876881
ENSG00000034510,2451402406.3213396
ENSG00000034533,105799.06880984953
ENSG00000034677,6388456.699863201
ENSG00000034693,121358.33885088924
ENSG00000034713,5028153.563474692
ENSG00000034971,315206.9767441861
ENSG00000035115,1670886.0300957595
ENSG00000035141,1859362.8377564978
ENSG00000035403,94128078.797948
ENSG00000035499,109368.65006839948
ENSG00000035664,1561795.214363885
